name,path,split,family_id,archetype,heldout_compositional,variant_index,engagement_class,initial_min_cross_distance,terrain,formation,num_allies,num_enemies,ally_value,enemy_value,ally_value_ratio,difficulty_proxy,ally_composition,enemy_composition,sha256
r2_train_0022,configs/train/r2_train_0022.json,train,marine_mirror_03,marine_mirror,False,6,medium,12.7932,OCTAGON,staggered,5,4,250,200,1.25,moderate,"{""MARINE"": 5}","{""MARINE"": 4}",95ccc83f68e188a312408b253ac0489b474a080f182b3fabe89bc0416c4d14d3
r2_train_0023,configs/train/r2_train_0023.json,train,marine_mirror_03,marine_mirror,False,7,medium,12.9836,SIMPLE,type_split,5,4,250,200,1.25,moderate,"{""MARINE"": 5}","{""MARINE"": 4}",a6f49aab6f7f2e874321614e71de5ac59afe15553c2567dc8027afcb182f1694
r2_train_0024,configs/train/r2_train_0024.json,train,marine_mirror_03,marine_mirror,False,8,far,16.9112,SIMPLE,compact,5,4,250,200,1.25,moderate,"{""MARINE"": 5}","{""MARINE"": 4}",f1c2e05e8635dbd7d6b19a8f2a108093dbe1b6aa3176f238c8c89abf49fc81d5
r2_train_0025,configs/train/r2_train_0025.json,train,marine_mirror_04,marine_mirror,False,1,immediate,5.3299,SIMPLE,split,7,6,350,300,1.1667,hard_winnable,"{""MARINE"": 7}","{""MARINE"": 6}",570552314ca0600881e0a501828cbf5202bce679912a55d689a56e962476b43e
r2_train_0026,configs/train/r2_train_0026.json,train,marine_mirror_04,marine_mirror,False,2,immediate,5.2899,NARROW,compact,7,6,350,300,1.1667,hard_winnable,"{""MARINE"": 7}","{""MARINE"": 6}",789ce6127c84252b74d99f74497dbfd0a3cf36f6fc1f06b8146ff361e2381cf5
r2_train_0027,configs/train/r2_train_0027.json,train,marine_mirror_04,marine_mirror,False,3,near,8.8302,SIMPLE,type_split,7,6,350,300,1.1667,hard_winnable,"{""MARINE"": 7}","{""MARINE"": 6}",358e884f78562cc6eaae7985ea80f2719ed08d4ebc46b6900ee9add93f75860d
r2_train_0028,configs/train/r2_train_0028.json,train,marine_mirror_04,marine_mirror,False,4,near,8.7195,SIMPLE,compact,7,6,350,300,1.1667,hard_winnable,"{""MARINE"": 7}","{""MARINE"": 6}",6499a5fa26bd8061c4cc6a7dbd2a4bec4570303f6de53e2c33ae6af89f807c9f
r2_train_0029,configs/train/r2_train_0029.json,train,marine_mirror_04,marine_mirror,False,5,near,8.7143,SIMPLE,split,7,6,350,300,1.1667,hard_winnable,"{""MARINE"": 7}","{""MARINE"": 6}",b747b06010957ea3e25122028090356894d7f6d4bedff89738b3ca2ce14b4f75
r2_train_0030,configs/train/r2_train_0030.json,train,marine_mirror_04,marine_mirror,False,6,medium,12.981,SIMPLE,staggered,7,6,350,300,1.1667,hard_winnable,"{""MARINE"": 7}","{""MARINE"": 6}",5ba4eedf3570900f215d14e5a7284484bc5ddd814b28d550c69a6a0ce09df211
r2_train_0031,configs/train/r2_train_0031.json,train,marine_mirror_04,marine_mirror,False,7,medium,12.6277,OCTAGON,type_split,7,6,350,300,1.1667,hard_winnable,"{""MARINE"": 7}","{""MARINE"": 6}",2d472d2481eebac22e2ba5a126df87a20f557529917241bc9cb91368a461d88b
r2_train_0032,configs/train/r2_train_0032.json,train,marine_mirror_04,marine_mirror,False,8,far,17.1781,SIMPLE,compact,7,6,350,300,1.1667,hard_winnable,"{""MARINE"": 7}","{""MARINE"": 6}",7ed7f9a568288780ae80eee0161af0382aa4abd129ef26cca0d0f83ab26acf6c
r2_train_0033,configs/train/r2_train_0033.json,train,marine_mirror_05,marine_mirror,False,1,immediate,5.2668,SIMPLE,split,9,8,450,400,1.125,hard_winnable,"{""MARINE"": 9}","{""MARINE"": 8}",a612041c3ecc9d8f211dbc9df0f9feb2f2842fb260de329b070b74dcc93472e2
r2_train_0034,configs/train/r2_train_0034.json,train,marine_mirror_05,marine_mirror,False,2,immediate,5.5224,SIMPLE,staggered,9,8,450,400,1.125,hard_winnable,"{""MARINE"": 9}","{""MARINE"": 8}",1abe065d21569fbd5997ccf9c0d9074b1a62a1d007333c8a688943728aa425f3
r2_train_0035,configs/train/r2_train_0035.json,train,marine_mirror_05,marine_mirror,False,3,near,8.6306,NARROW,compact,9,8,450,400,1.125,hard_winnable,"{""MARINE"": 9}","{""MARINE"": 8}",2e8e5c37c52ac88ecf33794c13d1db17aeec0100f1b232aa348aa6fe88919be2
r2_train_0036,configs/train/r2_train_0036.json,train,marine_mirror_05,marine_mirror,False,4,near,8.6824,SIMPLE,compact,9,8,450,400,1.125,hard_winnable,"{""MARINE"": 9}","{""MARINE"": 8}",6e901d78184e57b511b669b78ab739c9876c302196981da77c95230796a48f74
r2_train_0037,configs/train/r2_train_0037.json,train,marine_mirror_05,marine_mirror,False,5,near,8.557,SIMPLE,split,9,8,450,400,1.125,hard_winnable,"{""MARINE"": 9}","{""MARINE"": 8}",5dff07c279c7ed70cd5ca3ac330fbde7e990e5916194759839864dde5b5841ee
r2_train_0038,configs/train/r2_train_0038.json,train,marine_mirror_05,marine_mirror,False,6,medium,12.9522,SIMPLE,staggered,9,8,450,400,1.125,hard_winnable,"{""MARINE"": 9}","{""MARINE"": 8}",07c3ed60e3dd5f067599abc7757a40fc9c9ffe5d9ead0c89bca731afc79118aa
r2_train_0039,configs/train/r2_train_0039.json,train,marine_mirror_05,marine_mirror,False,7,medium,13.0312,SIMPLE,type_split,9,8,450,400,1.125,hard_winnable,"{""MARINE"": 9}","{""MARINE"": 8}",c83fb64b044f9d6679dc38526ddb142473b5d9962a155f8c8bb791b3b49ffd43
r2_train_0040,configs/train/r2_train_0040.json,train,marine_mirror_05,marine_mirror,False,8,far,16.766,SIMPLE,compact,9,8,450,400,1.125,hard_winnable,"{""MARINE"": 9}","{""MARINE"": 8}",d08d901f76adbe4400917a35a504766c7992ce52844c42fb661dad53785b2f2f
r2_train_0041,configs/train/r2_train_0041.json,train,stalker_mirror_01,stalker_mirror,False,1,immediate,5.478,SIMPLE,split,3,2,375,250,1.5,easy,"{""STALKER"": 3}","{""STALKER"": 2}",623d73698689686e9d360fabc2c0e86eb06f809d6c7f9879bfcb390d4082afd0
r2_train_0042,configs/train/r2_train_0042.json,train,stalker_mirror_01,stalker_mirror,False,2,immediate,5.1508,SIMPLE,staggered,3,2,375,250,1.5,easy,"{""STALKER"": 3}","{""STALKER"": 2}",5ac7d17b49bde7ad7810d6b9755c2d573a35d144d2d46c6632df43b483a5cd7e
r2_train_0043,configs/train/r2_train_0043.json,train,stalker_mirror_01,stalker_mirror,False,3,near,8.9963,SIMPLE,type_split,3,2,375,250,1.5,easy,"{""STALKER"": 3}","{""STALKER"": 2}",162eeffd108a54340805cca87dce72af8223c73e983057b76e990cfebb77e720
r2_train_0044,configs/train/r2_train_0044.json,train,stalker_mirror_01,stalker_mirror,False,4,near,8.6431,NARROW,compact,3,2,375,250,1.5,easy,"{""STALKER"": 3}","{""STALKER"": 2}",497cc8adb7e8209cbc72b992629c707fe454255cb47ce356a9ed3168192d163f
r2_train_0045,configs/train/r2_train_0045.json,train,stalker_mirror_01,stalker_mirror,False,5,near,8.9334,SIMPLE,split,3,2,375,250,1.5,easy,"{""STALKER"": 3}","{""STALKER"": 2}",f5010cfc7b2dcd73dbc1d4d8b69374f5e10485b613655b5393ac2044f4f92432
r2_train_0046,configs/train/r2_train_0046.json,train,stalker_mirror_01,stalker_mirror,False,6,medium,13.0018,SIMPLE,staggered,3,2,375,250,1.5,easy,"{""STALKER"": 3}","{""STALKER"": 2}",0363c73d7ce9b716d9dc39fd78a97dbd97d9a63b3b1feb9c805612d158871a85
r2_train_0047,configs/train/r2_train_0047.json,train,stalker_mirror_01,stalker_mirror,False,7,medium,12.6724,SIMPLE,type_split,3,2,375,250,1.5,easy,"{""STALKER"": 3}","{""STALKER"": 2}",0776758362a7c81c2956b4132883e7b1f9d828487ef639c58d90e4801ac5398c
r2_train_0048,configs/train/r2_train_0048.json,train,stalker_mirror_01,stalker_mirror,False,8,far,16.9266,SIMPLE,compact,3,2,375,250,1.5,easy,"{""STALKER"": 3}","{""STALKER"": 2}",1efd55394f04fcc86cdc516d395d4b956a97656883c42ca7b6bd60c96bbdd689
r2_train_0049,configs/train/r2_train_0049.json,train,stalker_mirror_02,stalker_mirror,False,1,immediate,5.587,SIMPLE,split,4,3,500,375,1.3333,moderate,"{""STALKER"": 4}","{""STALKER"": 3}",68b2d3267c3c70e9f44f81e07c3e3e6874a9b29ca49c14302913c65ea89fca7a
r2_train_0050,configs/train/r2_train_0050.json,train,stalker_mirror_02,stalker_mirror,False,2,immediate,5.1923,SIMPLE,staggered,4,3,500,375,1.3333,moderate,"{""STALKER"": 4}","{""STALKER"": 3}",56ea4f667210b05ea51a2ab9e6c11ee4d4ea7ebfed6ac539bfe9a1060357b5f5
r2_train_0051,configs/train/r2_train_0051.json,train,stalker_mirror_02,stalker_mirror,False,3,near,8.8523,SIMPLE,type_split,4,3,500,375,1.3333,moderate,"{""STALKER"": 4}","{""STALKER"": 3}",9584ad6f2de7c5ca41695c96cb4c684ce49a9fc9a5929af6464e9eea2c0479f2
r2_train_0052,configs/train/r2_train_0052.json,train,stalker_mirror_02,stalker_mirror,False,4,near,9.0229,SIMPLE,compact,4,3,500,375,1.3333,moderate,"{""STALKER"": 4}","{""STALKER"": 3}",cb930e2d781544254c8479428e8b47ee98fa05d3399077bcd95cc2c6426fe188
r2_train_0053,configs/train/r2_train_0053.json,train,stalker_mirror_02,stalker_mirror,False,5,near,8.8141,NARROW,compact,4,3,500,375,1.3333,moderate,"{""STALKER"": 4}","{""STALKER"": 3}",9020ea8b620b0a18fda0ecdf41fcb4dd94a7648a4e406d7f3470edd8a34a20fb
r2_train_0054,configs/train/r2_train_0054.json,train,stalker_mirror_02,stalker_mirror,False,6,medium,12.8026,SIMPLE,staggered,4,3,500,375,1.3333,moderate,"{""STALKER"": 4}","{""STALKER"": 3}",bc4433b3a397a0d2b0bb40e1be5986e6be2bd4989146434c649bc1c6b48b2f34
r2_train_0055,configs/train/r2_train_0055.json,train,stalker_mirror_02,stalker_mirror,False,7,medium,12.9665,SIMPLE,type_split,4,3,500,375,1.3333,moderate,"{""STALKER"": 4}","{""STALKER"": 3}",42e354965bf5a9f007a8c1efded74d4bfb0894f23257530137d0d9efcc93879b
r2_train_0056,configs/train/r2_train_0056.json,train,stalker_mirror_02,stalker_mirror,False,8,far,16.8256,SIMPLE,compact,4,3,500,375,1.3333,moderate,"{""STALKER"": 4}","{""STALKER"": 3}",fadd7da8fc23b24a7370aacc134f4e6482f7c387ee22c7322590ace293762dd5
r2_train_0057,configs/train/r2_train_0057.json,train,stalker_mirror_03,stalker_mirror,False,1,immediate,5.1721,NARROW,compact,5,4,625,500,1.25,moderate,"{""STALKER"": 5}","{""STALKER"": 4}",2d10e85a448e353c3d8227a963736adaa499153692abe1d1f8ea1526aad77e9a
r2_train_0058,configs/train/r2_train_0058.json,train,stalker_mirror_03,stalker_mirror,False,2,immediate,5.5763,SIMPLE,staggered,5,4,625,500,1.25,moderate,"{""STALKER"": 5}","{""STALKER"": 4}",9073ac8a2fa661afb424372c1897650c99b86bc803dfd6c52d24533184393e0f
r2_train_0059,configs/train/r2_train_0059.json,train,stalker_mirror_03,stalker_mirror,False,3,near,8.903,SIMPLE,type_split,5,4,625,500,1.25,moderate,"{""STALKER"": 5}","{""STALKER"": 4}",7c1e0be158548ea6a587ed74cc03379edeed3609a3a52ad9706b6e9b9bcfa491
r2_train_0060,configs/train/r2_train_0060.json,train,stalker_mirror_03,stalker_mirror,False,4,near,8.8814,SIMPLE,compact,5,4,625,500,1.25,moderate,"{""STALKER"": 5}","{""STALKER"": 4}",65af2258f88cc134d2ef36cbeea2ec685e495ce40ff0a96a4290311ee7032364
r2_train_0061,configs/train/r2_train_0061.json,train,stalker_mirror_03,stalker_mirror,False,5,near,9.003,SIMPLE,split,5,4,625,500,1.25,moderate,"{""STALKER"": 5}","{""STALKER"": 4}",80513ba2ea954d1efbb76b99229518e5358a6a63c278cd6f2aa332695ee53fec
r2_train_0062,configs/train/r2_train_0062.json,train,stalker_mirror_03,stalker_mirror,False,6,medium,12.6288,OCTAGON,staggered,5,4,625,500,1.25,moderate,"{""STALKER"": 5}","{""STALKER"": 4}",a6f5f6180ed75be6dc15ab400470722755f058718b73bf84e5cafb99537ce81d
r2_train_0063,configs/train/r2_train_0063.json,train,stalker_mirror_03,stalker_mirror,False,7,medium,13.0212,SIMPLE,type_split,5,4,625,500,1.25,moderate,"{""STALKER"": 5}","{""STALKER"": 4}",6b372cc7c11af22eff90be0ab71ebc5bdda5d4bdd3e51f4f1e3bba1b8b3996e6
r2_train_0064,configs/train/r2_train_0064.json,train,stalker_mirror_03,stalker_mirror,False,8,far,16.9076,SIMPLE,compact,5,4,625,500,1.25,moderate,"{""STALKER"": 5}","{""STALKER"": 4}",95f32cd4a5239405f779f19f3874a83229bc3bf6d3b316a6d9732ce5af56febf
r2_train_0065,configs/train/r2_train_0065.json,train,stalker_mirror_04,stalker_mirror,False,1,immediate,5.6081,SIMPLE,split,7,6,875,750,1.1667,hard_winnable,"{""STALKER"": 7}","{""STALKER"": 6}",badead2eae149ef04bbbe8550e4e9fd3d8bed22da5e9abb54d97171291e25ba1
r2_train_0066,configs/train/r2_train_0066.json,train,stalker_mirror_04,stalker_mirror,False,2,immediate,5.252,NARROW,compact,7,6,875,750,1.1667,hard_winnable,"{""STALKER"": 7}","{""STALKER"": 6}",82d4007849df77c07d4745241c968c7146b99bee1d859b6f522bd6f9f0f1260d
r2_train_0067,configs/train/r2_train_0067.json,train,stalker_mirror_04,stalker_mirror,False,3,near,8.8861,SIMPLE,type_split,7,6,875,750,1.1667,hard_winnable,"{""STALKER"": 7}","{""STALKER"": 6}",8013d193dbbb9bc605b59f075fa91d54acad35ddd33be2f5d88f2bd5410afadf
r2_train_0068,configs/train/r2_train_0068.json,train,stalker_mirror_04,stalker_mirror,False,4,near,8.7641,SIMPLE,compact,7,6,875,750,1.1667,hard_winnable,"{""STALKER"": 7}","{""STALKER"": 6}",1b23c6777c5a527f8f1e1c2fe2dc05184cf3f4fd367a6d489bfab721c72633a7
r2_train_0069,configs/train/r2_train_0069.json,train,stalker_mirror_04,stalker_mirror,False,5,near,9.0282,SIMPLE,split,7,6,875,750,1.1667,hard_winnable,"{""STALKER"": 7}","{""STALKER"": 6}",6238c9f1a28721f6778e8c9fda0d4b3188c22cd2084f4bf6f6f7a18104168667
r2_train_0070,configs/train/r2_train_0070.json,train,stalker_mirror_04,stalker_mirror,False,6,medium,12.9384,SIMPLE,staggered,7,6,875,750,1.1667,hard_winnable,"{""STALKER"": 7}","{""STALKER"": 6}",901e10b8fe3f03e867319ac070fc9ee1329af79ffeb3a2c49e4204bed40fddec
r2_train_0071,configs/train/r2_train_0071.json,train,stalker_mirror_04,stalker_mirror,False,7,medium,12.8191,OCTAGON,type_split,7,6,875,750,1.1667,hard_winnable,"{""STALKER"": 7}","{""STALKER"": 6}",c238f54664b580989684e00b604b026669e58906939e50f5d9e31e81609db7ef
r2_train_0072,configs/train/r2_train_0072.json,train,stalker_mirror_04,stalker_mirror,False,8,far,17.1157,SIMPLE,compact,7,6,875,750,1.1667,hard_winnable,"{""STALKER"": 7}","{""STALKER"": 6}",7999c9e22705ed377e54535c5ac92ca25606d2a91f7bb4df7f14a1724eefd6f0
r2_train_0073,configs/train/r2_train_0073.json,train,stalker_mirror_05,stalker_mirror,False,1,immediate,5.2562,SIMPLE,split,9,8,1125,1000,1.125,hard_winnable,"{""STALKER"": 9}","{""STALKER"": 8}",81c3f54cedf42819f663168a78f79d30105a8c969192e36316c90fedb81fb0c5
r2_train_0074,configs/train/r2_train_0074.json,train,stalker_mirror_05,stalker_mirror,False,2,immediate,5.4297,SIMPLE,staggered,9,8,1125,1000,1.125,hard_winnable,"{""STALKER"": 9}","{""STALKER"": 8}",2376921b8dcc5afe35f5ce8bb8841b06a70a3215b1ce62bd19057dee9cfb3ee9
r2_train_0075,configs/train/r2_train_0075.json,train,stalker_mirror_05,stalker_mirror,False,3,near,8.6796,NARROW,compact,9,8,1125,1000,1.125,hard_winnable,"{""STALKER"": 9}","{""STALKER"": 8}",25ff277191777f99580d64f2dcc76f34297f893e9c575cfde47dee1f611fe6f9
r2_train_0076,configs/train/r2_train_0076.json,train,stalker_mirror_05,stalker_mirror,False,4,near,9.0501,SIMPLE,compact,9,8,1125,1000,1.125,hard_winnable,"{""STALKER"": 9}","{""STALKER"": 8}",a23e635c9b82e99749ee48f61a6018b672bdc0d042a8ac044d0f7e0e60b7a6df
r2_train_0077,configs/train/r2_train_0077.json,train,stalker_mirror_05,stalker_mirror,False,5,near,8.7973,SIMPLE,split,9,8,1125,1000,1.125,hard_winnable,"{""STALKER"": 9}","{""STALKER"": 8}",36daa50cde76a8945fc77a3f6684d233a962b5b6c076e976d03edbf3c1ac35ef
r2_train_0078,configs/train/r2_train_0078.json,train,stalker_mirror_05,stalker_mirror,False,6,medium,12.9907,SIMPLE,staggered,9,8,1125,1000,1.125,hard_winnable,"{""STALKER"": 9}","{""STALKER"": 8}",af7158f3127233d841bbd84df04c2974cded2ac7b26ef4dd542aeedd4916c867
r2_train_0079,configs/train/r2_train_0079.json,train,stalker_mirror_05,stalker_mirror,False,7,medium,12.7372,SIMPLE,type_split,9,8,1125,1000,1.125,hard_winnable,"{""STALKER"": 9}","{""STALKER"": 8}",882d7ed087904e110c9cca53a4ffa46debb361bdbe81b5855121ad7af88f8948
r2_train_0080,configs/train/r2_train_0080.json,train,stalker_mirror_05,stalker_mirror,False,8,far,16.9747,SIMPLE,compact,9,8,1125,1000,1.125,hard_winnable,"{""STALKER"": 9}","{""STALKER"": 8}",3f3eedd0d0f1d561edad77a249c14e98f5f899a4034bcd99ae4337852d237dbe
r2_train_0081,configs/train/r2_train_0081.json,train,zealot_vs_zergling_01,zealot_vs_zergling,False,1,immediate,5.5932,SIMPLE,split,2,6,200,150,1.3333,moderate,"{""ZEALOT"": 2}","{""ZERGLING"": 6}",95328b0c431d77fa01c3ae364d99f83f595eb4d3d122fe464962dc2357b6542a
r2_train_0082,configs/train/r2_train_0082.json,train,zealot_vs_zergling_01,zealot_vs_zergling,False,2,immediate,5.589,SIMPLE,staggered,2,6,200,150,1.3333,moderate,"{""ZEALOT"": 2}","{""ZERGLING"": 6}",4207655ee951e9b25ea226fe9fdd72df6c65f0bfad5f00e5d7cb59a02d5d147c
r2_train_0083,configs/train/r2_train_0083.json,train,zealot_vs_zergling_01,zealot_vs_zergling,False,3,near,8.8329,SIMPLE,type_split,2,6,200,150,1.3333,moderate,"{""ZEALOT"": 2}","{""ZERGLING"": 6}",181f57f4a9740a62898c2c412433f2511ad75092ff9c26282ee712223e19dc06
r2_train_0084,configs/train/r2_train_0084.json,train,zealot_vs_zergling_01,zealot_vs_zergling,False,4,near,8.7433,NARROW,compact,2,6,200,150,1.3333,moderate,"{""ZEALOT"": 2}","{""ZERGLING"": 6}",6a873c1db437cee0b302e29f5789e33b511e39abfadb1d78065dd834d4167bea
r2_train_0085,configs/train/r2_train_0085.json,train,zealot_vs_zergling_01,zealot_vs_zergling,False,5,near,8.713,SIMPLE,split,2,6,200,150,1.3333,moderate,"{""ZEALOT"": 2}","{""ZERGLING"": 6}",af5dccea3e662f467db7eb7beeeace74fb87744c0c86d3e54da0fd3d5115c5f0
r2_train_0086,configs/train/r2_train_0086.json,train,zealot_vs_zergling_01,zealot_vs_zergling,False,6,medium,12.7659,SIMPLE,staggered,2,6,200,150,1.3333,moderate,"{""ZEALOT"": 2}","{""ZERGLING"": 6}",0659b693e32a22fee32d77138bbffd4ab2096b5c4ac9c7a160e8fc56f23b50c7
r2_train_0087,configs/train/r2_train_0087.json,train,zealot_vs_zergling_01,zealot_vs_zergling,False,7,medium,12.6889,SIMPLE,type_split,2,6,200,150,1.3333,moderate,"{""ZEALOT"": 2}","{""ZERGLING"": 6}",2274f21a4d8d02ae807f47a0a2bf58a10d419c486b25f98c8c195e2d93c7d157
r2_train_0088,configs/train/r2_train_0088.json,train,zealot_vs_zergling_01,zealot_vs_zergling,False,8,far,16.8011,SIMPLE,compact,2,6,200,150,1.3333,moderate,"{""ZEALOT"": 2}","{""ZERGLING"": 6}",23b848557552f2125638321e8047f9a1b5de29a172c2dced9ddef29227c8d440
r2_train_0089,configs/train/r2_train_0089.json,train,zealot_vs_zergling_02,zealot_vs_zergling,False,1,immediate,5.535,SIMPLE,split,2,7,200,175,1.1429,hard_winnable,"{""ZEALOT"": 2}","{""ZERGLING"": 7}",91dab8fa124e4dfe20ec8b5e5d198be7149e84dadd29438ff4916c969ea9671d
r2_train_0090,configs/train/r2_train_0090.json,train,zealot_vs_zergling_02,zealot_vs_zergling,False,2,immediate,5.41,SIMPLE,staggered,2,7,200,175,1.1429,hard_winnable,"{""ZEALOT"": 2}","{""ZERGLING"": 7}",b24c052ff1480b299d7bda37de3ec46be51a888c14a80c7b6c78ccd51e986714
r2_train_0091,configs/train/r2_train_0091.json,train,zealot_vs_zergling_02,zealot_vs_zergling,False,3,near,8.6389,SIMPLE,type_split,2,7,200,175,1.1429,hard_winnable,"{""ZEALOT"": 2}","{""ZERGLING"": 7}",af2be17501bb52f55b412611fcf72211dffc991b735190ba93f941b87f182804
