name,path,split,family_id,archetype,family_origin,heldout_compositional,variant_index,engagement_class,initial_min_cross_distance,terrain,formation,layout,num_allies,num_enemies,ally_value,enemy_value,ally_value_ratio,difficulty_proxy,static_difficulty_score,ally_composition,enemy_composition,sha256
r2g_train_0018,configs/train/r2g_train_0018.json,train,marine_mirror_02,marine_mirror,legacy_r2_1300,False,6,near,8.9239,OCTAGON,split,diag_down,4,3,200,150,1.3333,moderate_advantage,0.075758,"{""MARINE"": 4}","{""MARINE"": 3}",1e049433eb1e844c60d0c846b64d98985add19802397574a3f8da99d14c1c4d7
r2g_train_0019,configs/train/r2g_train_0019.json,train,marine_mirror_02,marine_mirror,legacy_r2_1300,False,7,near,8.7968,NARROW,staggered,narrow_same_side,4,3,200,150,1.3333,moderate_advantage,0.075758,"{""MARINE"": 4}","{""MARINE"": 3}",a0abfbe2a38599cebbf011ffac2aa9c40959cabc6d58d4352e004f9bcea0a3c0
r2g_train_0020,configs/train/r2g_train_0020.json,train,marine_mirror_02,marine_mirror,legacy_r2_1300,False,8,medium,12.7908,SIMPLE,type_split,horizontal,4,3,200,150,1.3333,moderate_advantage,0.075758,"{""MARINE"": 4}","{""MARINE"": 3}",5bf9ad86c12ecd5f93fbf57533a6648aac26154bd204dea76313d41ba26e8245
r2g_train_0021,configs/train/r2g_train_0021.json,train,marine_mirror_02,marine_mirror,legacy_r2_1300,False,9,medium,12.6332,OCTAGON,compact,diag_up,4,3,200,150,1.3333,moderate_advantage,0.075758,"{""MARINE"": 4}","{""MARINE"": 3}",e83b4223ac8c1f7c6a832c7414f2f69d753af5086038502fda7da658048f8215
r2g_train_0022,configs/train/r2g_train_0022.json,train,marine_mirror_02,marine_mirror,legacy_r2_1300,False,10,medium,12.7844,NARROW,split,narrow_cross_gate,4,3,200,150,1.3333,moderate_advantage,0.075758,"{""MARINE"": 4}","{""MARINE"": 3}",7b34cecf92fc0ae07b76bcfb6a472f95d065f1bc21c0346ed9157c03e7b0212e
r2g_train_0023,configs/train/r2g_train_0023.json,train,marine_mirror_02,marine_mirror,legacy_r2_1300,False,11,far,16.8706,SIMPLE,staggered,horizontal,4,3,200,150,1.3333,moderate_advantage,0.075758,"{""MARINE"": 4}","{""MARINE"": 3}",d94ec785d697f4ac015216687ac41568dcf2ccdcb03acf87778235edbb92a991
r2g_train_0024,configs/train/r2g_train_0024.json,train,marine_mirror_02,marine_mirror,legacy_r2_1300,False,12,far,17.176,SIMPLE,type_split,horizontal,4,3,200,150,1.3333,moderate_advantage,0.075758,"{""MARINE"": 4}","{""MARINE"": 3}",fbed7e0d8bdfe1c1b4284b7e24ff36023477d453f9090f502654706c6b827711
r2g_train_0025,configs/train/r2g_train_0025.json,train,marine_mirror_03,marine_mirror,legacy_r2_1300,False,1,immediate,5.5725,NARROW,compact,narrow_same_side,5,4,250,200,1.25,moderate_advantage,0.227273,"{""MARINE"": 5}","{""MARINE"": 4}",c1b41062c5350a245f5cd93433530ed5ab7105f8292cc220ad5bc9a9be8b8321
r2g_train_0026,configs/train/r2g_train_0026.json,train,marine_mirror_03,marine_mirror,legacy_r2_1300,False,2,immediate,5.219,OCTAGON,split,diag_up,5,4,250,200,1.25,moderate_advantage,0.227273,"{""MARINE"": 5}","{""MARINE"": 4}",c9a363b9a7ec1c2efbc593c293d1b3a99f11325af3a976e6c1f3b894057a017b
r2g_train_0027,configs/train/r2g_train_0027.json,train,marine_mirror_03,marine_mirror,legacy_r2_1300,False,3,immediate,5.4262,SIMPLE,staggered,horizontal,5,4,250,200,1.25,moderate_advantage,0.227273,"{""MARINE"": 5}","{""MARINE"": 4}",28db72b4f9fc455811ae87e2f2d5437d9916d2ab929eff65d28a2abce5cff483
r2g_train_0028,configs/train/r2g_train_0028.json,train,marine_mirror_03,marine_mirror,legacy_r2_1300,False,4,near,8.7691,NARROW,type_split,narrow_same_side,5,4,250,200,1.25,moderate_advantage,0.227273,"{""MARINE"": 5}","{""MARINE"": 4}",b371c310ca99a0f2145aef1c1aff5df3551ee9825fa50a7ea136e01e41561179
r2g_train_0029,configs/train/r2g_train_0029.json,train,marine_mirror_03,marine_mirror,legacy_r2_1300,False,5,near,8.6771,OCTAGON,compact,vertical,5,4,250,200,1.25,moderate_advantage,0.227273,"{""MARINE"": 5}","{""MARINE"": 4}",a8a027d4f16d0a5ca8cfa9d78c7cd7c524b2df2b078003b2aad2c4baafa2448d
r2g_train_0030,configs/train/r2g_train_0030.json,train,marine_mirror_03,marine_mirror,legacy_r2_1300,False,6,near,8.7993,OCTAGON,split,diag_down,5,4,250,200,1.25,moderate_advantage,0.227273,"{""MARINE"": 5}","{""MARINE"": 4}",1e5bee6d9fdb1f9da8e6d0a168d1e46ac3f9644b88744fa3e2fb9dbc17e279e6
r2g_train_0031,configs/train/r2g_train_0031.json,train,marine_mirror_03,marine_mirror,legacy_r2_1300,False,7,near,8.8961,NARROW,staggered,narrow_same_side,5,4,250,200,1.25,moderate_advantage,0.227273,"{""MARINE"": 5}","{""MARINE"": 4}",bffc8b320982ebd284baf33f88cc6005613c1c8ec56710017e6fa4bccc7b1ce5
r2g_train_0032,configs/train/r2g_train_0032.json,train,marine_mirror_03,marine_mirror,legacy_r2_1300,False,8,medium,12.7284,SIMPLE,type_split,horizontal,5,4,250,200,1.25,moderate_advantage,0.227273,"{""MARINE"": 5}","{""MARINE"": 4}",85f6ebc22b3a209c0704548245352fd2a97cac1d194d8d51d5fc33a66f76b3f5
r2g_train_0033,configs/train/r2g_train_0033.json,train,marine_mirror_03,marine_mirror,legacy_r2_1300,False,9,medium,12.7714,OCTAGON,compact,diag_up,5,4,250,200,1.25,moderate_advantage,0.227273,"{""MARINE"": 5}","{""MARINE"": 4}",2b417520c2dac137cfd494b642192a3ec4415e6598cd6179636e8c3295a27a2f
r2g_train_0034,configs/train/r2g_train_0034.json,train,marine_mirror_03,marine_mirror,legacy_r2_1300,False,10,medium,12.9241,NARROW,split,narrow_cross_gate,5,4,250,200,1.25,moderate_advantage,0.227273,"{""MARINE"": 5}","{""MARINE"": 4}",5bb153239af460047cb89d10de145b1088c4a7ddfde3590909083c2af7130de1
r2g_train_0035,configs/train/r2g_train_0035.json,train,marine_mirror_03,marine_mirror,legacy_r2_1300,False,11,far,16.8173,SIMPLE,staggered,horizontal,5,4,250,200,1.25,moderate_advantage,0.227273,"{""MARINE"": 5}","{""MARINE"": 4}",ec94f110cd198f94672c1be9a02e40343e1b5cc7192303db90c0e47baa5ae21e
r2g_train_0036,configs/train/r2g_train_0036.json,train,marine_mirror_03,marine_mirror,legacy_r2_1300,False,12,far,16.9574,SIMPLE,type_split,horizontal,5,4,250,200,1.25,moderate_advantage,0.227273,"{""MARINE"": 5}","{""MARINE"": 4}",95b4375df59de0d3be8266cdbceac32df5f1981bc745fba7ec6e8e0de0c6a64a
r2g_train_0037,configs/train/r2g_train_0037.json,train,marine_mirror_04,marine_mirror,legacy_r2_1300,False,1,immediate,5.5889,NARROW,compact,narrow_same_side,7,6,350,300,1.1667,moderate_advantage,0.378788,"{""MARINE"": 7}","{""MARINE"": 6}",93138763451ad5f8f1e5dbdaa256afd7289ba3d09db338b9019c9e811b4362f5
r2g_train_0038,configs/train/r2g_train_0038.json,train,marine_mirror_04,marine_mirror,legacy_r2_1300,False,2,immediate,5.3543,OCTAGON,split,diag_up,7,6,350,300,1.1667,moderate_advantage,0.378788,"{""MARINE"": 7}","{""MARINE"": 6}",66ab51d7afe597d2a660fcac1e55a7b7a17880f7cd70070eb4f21a2c86f96f93
r2g_train_0039,configs/train/r2g_train_0039.json,train,marine_mirror_04,marine_mirror,legacy_r2_1300,False,3,immediate,5.469,SIMPLE,staggered,horizontal,7,6,350,300,1.1667,moderate_advantage,0.378788,"{""MARINE"": 7}","{""MARINE"": 6}",50a19c180b9186b817e41ee26abd2b7b22b2c7dc0dc9766d7f31068706b205da
r2g_train_0040,configs/train/r2g_train_0040.json,train,marine_mirror_04,marine_mirror,legacy_r2_1300,False,4,near,8.6461,NARROW,type_split,narrow_same_side,7,6,350,300,1.1667,moderate_advantage,0.378788,"{""MARINE"": 7}","{""MARINE"": 6}",9c3385c86cf28e9f876f233ce762bab7cbbae47abf4cbf01d611ad78845664e5
r2g_train_0041,configs/train/r2g_train_0041.json,train,marine_mirror_04,marine_mirror,legacy_r2_1300,False,5,near,8.9776,OCTAGON,compact,vertical,7,6,350,300,1.1667,moderate_advantage,0.378788,"{""MARINE"": 7}","{""MARINE"": 6}",cc9b802c8dce5695708047d13df6aac4839327b1baebcf859f57270576eff721
r2g_train_0042,configs/train/r2g_train_0042.json,train,marine_mirror_04,marine_mirror,legacy_r2_1300,False,6,near,8.7183,OCTAGON,split,diag_down,7,6,350,300,1.1667,moderate_advantage,0.378788,"{""MARINE"": 7}","{""MARINE"": 6}",4060f21e859906a0f25fdb073ae41ce43339940378ccec3308424bcf1d995ae3
r2g_train_0043,configs/train/r2g_train_0043.json,train,marine_mirror_04,marine_mirror,legacy_r2_1300,False,7,near,8.7551,NARROW,staggered,narrow_same_side,7,6,350,300,1.1667,moderate_advantage,0.378788,"{""MARINE"": 7}","{""MARINE"": 6}",83b333986cc1e5fee0d97610cde94b8e03c9b99f9272c722cf0a956b3ff0255a
r2g_train_0044,configs/train/r2g_train_0044.json,train,marine_mirror_04,marine_mirror,legacy_r2_1300,False,8,medium,12.7153,SIMPLE,type_split,horizontal,7,6,350,300,1.1667,moderate_advantage,0.378788,"{""MARINE"": 7}","{""MARINE"": 6}",897764312279a683b6ef069a1b5dddd1d7e93fbb7f552540fc1b4f5104886bfb
r2g_train_0045,configs/train/r2g_train_0045.json,train,marine_mirror_04,marine_mirror,legacy_r2_1300,False,9,medium,12.6512,OCTAGON,compact,diag_up,7,6,350,300,1.1667,moderate_advantage,0.378788,"{""MARINE"": 7}","{""MARINE"": 6}",b0dca2a16a2d484630c5bfe42d3da09f0421735dd0a0226ebf794b608b16c026
r2g_train_0046,configs/train/r2g_train_0046.json,train,marine_mirror_04,marine_mirror,legacy_r2_1300,False,10,medium,12.885,NARROW,split,narrow_cross_gate,7,6,350,300,1.1667,moderate_advantage,0.378788,"{""MARINE"": 7}","{""MARINE"": 6}",1d3877a455d9d0cc88b1746fb0f97ce9b5f20bac54fe569466c997bb1469b573
r2g_train_0047,configs/train/r2g_train_0047.json,train,marine_mirror_04,marine_mirror,legacy_r2_1300,False,11,far,16.9536,SIMPLE,staggered,horizontal,7,6,350,300,1.1667,moderate_advantage,0.378788,"{""MARINE"": 7}","{""MARINE"": 6}",eec7e6ad9399c0ac971db30ed36b245f14759b555f8601711f88876e43089d05
r2g_train_0048,configs/train/r2g_train_0048.json,train,marine_mirror_04,marine_mirror,legacy_r2_1300,False,12,far,16.8344,SIMPLE,type_split,horizontal,7,6,350,300,1.1667,moderate_advantage,0.378788,"{""MARINE"": 7}","{""MARINE"": 6}",9a72bef73466d833a58b4c5de82ebf470c9a113d77a12c9eb1960b3640690483
r2g_train_0049,configs/train/r2g_train_0049.json,train,marine_mirror_05,marine_mirror,legacy_r2_1300,False,1,immediate,5.5629,NARROW,compact,narrow_same_side,9,8,450,400,1.125,moderate_advantage,0.454545,"{""MARINE"": 9}","{""MARINE"": 8}",357a7814ba54336271c1cd5554888ef5409c6ba68533c9596b4a6a32bceedb4b
r2g_train_0050,configs/train/r2g_train_0050.json,train,marine_mirror_05,marine_mirror,legacy_r2_1300,False,2,immediate,5.4485,OCTAGON,split,diag_up,9,8,450,400,1.125,moderate_advantage,0.454545,"{""MARINE"": 9}","{""MARINE"": 8}",353d4502b09c0025bdb0a6ff7a159dc5aaafef3bac699863b6d97fa4eacd189e
r2g_train_0051,configs/train/r2g_train_0051.json,train,marine_mirror_05,marine_mirror,legacy_r2_1300,False,3,immediate,5.3721,SIMPLE,staggered,horizontal,9,8,450,400,1.125,moderate_advantage,0.454545,"{""MARINE"": 9}","{""MARINE"": 8}",9958c09bd791193ca70f581f99f6b9c53d036f2803317076988fc67844e4267b
r2g_train_0052,configs/train/r2g_train_0052.json,train,marine_mirror_05,marine_mirror,legacy_r2_1300,False,4,near,8.8548,NARROW,type_split,narrow_same_side,9,8,450,400,1.125,moderate_advantage,0.454545,"{""MARINE"": 9}","{""MARINE"": 8}",d44407ba6d27d398ac4ae272958fbc977c007498576ba882b88bae4ef7a0bbee
r2g_train_0053,configs/train/r2g_train_0053.json,train,marine_mirror_05,marine_mirror,legacy_r2_1300,False,5,near,8.8136,OCTAGON,compact,vertical,9,8,450,400,1.125,moderate_advantage,0.454545,"{""MARINE"": 9}","{""MARINE"": 8}",58fbdc0ba5480264ba2c72903b5e401f364f52201dea415d1fa1f0b494a66272
r2g_train_0054,configs/train/r2g_train_0054.json,train,marine_mirror_05,marine_mirror,legacy_r2_1300,False,6,near,8.6669,OCTAGON,split,diag_down,9,8,450,400,1.125,moderate_advantage,0.454545,"{""MARINE"": 9}","{""MARINE"": 8}",a4ec736ba1b89aacf530bf4083d8a3d5477c1a7e436979ac2efee0817a01b217
r2g_train_0055,configs/train/r2g_train_0055.json,train,marine_mirror_05,marine_mirror,legacy_r2_1300,False,7,near,8.8062,NARROW,staggered,narrow_same_side,9,8,450,400,1.125,moderate_advantage,0.454545,"{""MARINE"": 9}","{""MARINE"": 8}",77ae1b5d9462f0dcb2430426e720da1a2a92ccacc6559332659ae5c58629c490
r2g_train_0056,configs/train/r2g_train_0056.json,train,marine_mirror_05,marine_mirror,legacy_r2_1300,False,8,medium,12.946,SIMPLE,type_split,horizontal,9,8,450,400,1.125,moderate_advantage,0.454545,"{""MARINE"": 9}","{""MARINE"": 8}",ef16bb62ddf78fed56709c8ab6b77460a988c3287f45b03c0a2a04b404c0b239
r2g_train_0057,configs/train/r2g_train_0057.json,train,marine_mirror_05,marine_mirror,legacy_r2_1300,False,9,medium,12.6202,OCTAGON,compact,diag_up,9,8,450,400,1.125,moderate_advantage,0.454545,"{""MARINE"": 9}","{""MARINE"": 8}",c26bc632cfcb6b4abb67824afc344696672f42d5ff40384617d5049f647dbc7a
r2g_train_0058,configs/train/r2g_train_0058.json,train,marine_mirror_05,marine_mirror,legacy_r2_1300,False,10,medium,12.994,NARROW,split,narrow_cross_gate,9,8,450,400,1.125,moderate_advantage,0.454545,"{""MARINE"": 9}","{""MARINE"": 8}",e321228976db13b58f19aac9a34ff9337ec16590616f312e80a4552ad9359136
r2g_train_0059,configs/train/r2g_train_0059.json,train,marine_mirror_05,marine_mirror,legacy_r2_1300,False,11,far,16.923,SIMPLE,staggered,horizontal,9,8,450,400,1.125,moderate_advantage,0.454545,"{""MARINE"": 9}","{""MARINE"": 8}",0e906f4115b01fd03e6b3bd2865ea644aecbd03d078640493f339161c3fab545
r2g_train_0060,configs/train/r2g_train_0060.json,train,marine_mirror_05,marine_mirror,legacy_r2_1300,False,12,far,16.995,SIMPLE,type_split,horizontal,9,8,450,400,1.125,moderate_advantage,0.454545,"{""MARINE"": 9}","{""MARINE"": 8}",3bc3a15cd2db18fb79fb1f87c961b85fb0d8f4f9efcad826ce7eaa19f5f1fd5a
r2g_train_0061,configs/train/r2g_train_0061.json,train,stalker_mirror_01,stalker_mirror,legacy_r2_1300,False,1,immediate,5.2742,NARROW,compact,narrow_same_side,3,2,375,250,1.5,strong_advantage,0.0,"{""STALKER"": 3}","{""STALKER"": 2}",e23b963c5aee5c29f21fe7374124a29970ea44346928adc5f2a45d1ef20c2b50
r2g_train_0062,configs/train/r2g_train_0062.json,train,stalker_mirror_01,stalker_mirror,legacy_r2_1300,False,2,immediate,5.5352,OCTAGON,split,diag_up,3,2,375,250,1.5,strong_advantage,0.0,"{""STALKER"": 3}","{""STALKER"": 2}",8aa336cea89536b75d9ba452a69bf934db871e2a400543f9e71abd76766072d0
r2g_train_0063,configs/train/r2g_train_0063.json,train,stalker_mirror_01,stalker_mirror,legacy_r2_1300,False,3,immediate,5.5839,SIMPLE,staggered,horizontal,3,2,375,250,1.5,strong_advantage,0.0,"{""STALKER"": 3}","{""STALKER"": 2}",0fea327985d990af603484207de6553c961ce5c97c185be6711f7ae41444c8fd
r2g_train_0064,configs/train/r2g_train_0064.json,train,stalker_mirror_01,stalker_mirror,legacy_r2_1300,False,4,near,8.6531,NARROW,type_split,narrow_same_side,3,2,375,250,1.5,strong_advantage,0.0,"{""STALKER"": 3}","{""STALKER"": 2}",b15d88dc1b4180406950eb246f85392be46c5ceeeb1b4ac3162943e936bdaf2f
r2g_train_0065,configs/train/r2g_train_0065.json,train,stalker_mirror_01,stalker_mirror,legacy_r2_1300,False,5,near,8.8001,OCTAGON,compact,vertical,3,2,375,250,1.5,strong_advantage,0.0,"{""STALKER"": 3}","{""STALKER"": 2}",fd3e30672c69823523cb96c34563ba8f43e3c4c3161b8c5a2ce21639a6275991
r2g_train_0066,configs/train/r2g_train_0066.json,train,stalker_mirror_01,stalker_mirror,legacy_r2_1300,False,6,near,8.6222,OCTAGON,split,diag_down,3,2,375,250,1.5,strong_advantage,0.0,"{""STALKER"": 3}","{""STALKER"": 2}",75dab3f99f0865e35f100a04adbf8e70c7eb40546649f67895fa97bf3661fb12
r2g_train_0067,configs/train/r2g_train_0067.json,train,stalker_mirror_01,stalker_mirror,legacy_r2_1300,False,7,near,8.9911,NARROW,staggered,narrow_same_side,3,2,375,250,1.5,strong_advantage,0.0,"{""STALKER"": 3}","{""STALKER"": 2}",caa8998c678732794ca735683fae0194a50e5a864e8f06d614c29a868e8f1bda
r2g_train_0068,configs/train/r2g_train_0068.json,train,stalker_mirror_01,stalker_mirror,legacy_r2_1300,False,8,medium,12.679,SIMPLE,type_split,horizontal,3,2,375,250,1.5,strong_advantage,0.0,"{""STALKER"": 3}","{""STALKER"": 2}",683d1673b43ddc5a578e62c7c6e817d92dde2909ed39f18f4281832c527210d7
r2g_train_0069,configs/train/r2g_train_0069.json,train,stalker_mirror_01,stalker_mirror,legacy_r2_1300,False,9,medium,12.7599,OCTAGON,compact,diag_up,3,2,375,250,1.5,strong_advantage,0.0,"{""STALKER"": 3}","{""STALKER"": 2}",2fd4787e5b4564d3d8bab4625193c8044d4b58992c35e72ae93dc6d072724f96
r2g_train_0070,configs/train/r2g_train_0070.json,train,stalker_mirror_01,stalker_mirror,legacy_r2_1300,False,10,medium,12.7988,NARROW,split,narrow_cross_gate,3,2,375,250,1.5,strong_advantage,0.0,"{""STALKER"": 3}","{""STALKER"": 2}",d41a3c0b9678e37054ef3df1d8aa2c40a951332ea14189bf38eed9e33e00a440
r2g_train_0071,configs/train/r2g_train_0071.json,train,stalker_mirror_01,stalker_mirror,legacy_r2_1300,False,11,far,17.0893,SIMPLE,staggered,horizontal,3,2,375,250,1.5,strong_advantage,0.0,"{""STALKER"": 3}","{""STALKER"": 2}",7eaac29c39523cf46136adcc73d98107c42ef0ca376cdd77e31c8c1768564a4f
r2g_train_0072,configs/train/r2g_train_0072.json,train,stalker_mirror_01,stalker_mirror,legacy_r2_1300,False,12,far,17.1963,SIMPLE,type_split,horizontal,3,2,375,250,1.5,strong_advantage,0.0,"{""STALKER"": 3}","{""STALKER"": 2}",d7fa6184e045591b290cfa846cdad35af2926ae6a89b31e4bc8d080eb76f8e9b
r2g_train_0073,configs/train/r2g_train_0073.json,train,stalker_mirror_02,stalker_mirror,legacy_r2_1300,False,1,immediate,5.3922,NARROW,compact,narrow_same_side,4,3,500,375,1.3333,moderate_advantage,0.075758,"{""STALKER"": 4}","{""STALKER"": 3}",eba333a6550412b7919539d0fed29c4c5725c94ec2e9108834005053e78ca1f8
r2g_train_0074,configs/train/r2g_train_0074.json,train,stalker_mirror_02,stalker_mirror,legacy_r2_1300,False,2,immediate,5.3086,OCTAGON,split,diag_up,4,3,500,375,1.3333,moderate_advantage,0.075758,"{""STALKER"": 4}","{""STALKER"": 3}",f3d3bc016b7c56566103867b9638925d7a667fae7f3887767147e4745546bb4c
r2g_train_0075,configs/train/r2g_train_0075.json,train,stalker_mirror_02,stalker_mirror,legacy_r2_1300,False,3,immediate,5.3576,SIMPLE,staggered,horizontal,4,3,500,375,1.3333,moderate_advantage,0.075758,"{""STALKER"": 4}","{""STALKER"": 3}",4cd9b96fb4d3b530d183d65b40b88b29f862f668eecd7ab5eef09c0e5eee6e6f
r2g_train_0076,configs/train/r2g_train_0076.json,train,stalker_mirror_02,stalker_mirror,legacy_r2_1300,False,4,near,8.985,NARROW,type_split,narrow_same_side,4,3,500,375,1.3333,moderate_advantage,0.075758,"{""STALKER"": 4}","{""STALKER"": 3}",2dc41225d3f6d870b36f593114aa76ab7cedaafef053cfbd5de7a421d7c2d6f8
r2g_train_0077,configs/train/r2g_train_0077.json,train,stalker_mirror_02,stalker_mirror,legacy_r2_1300,False,5,near,8.6001,OCTAGON,compact,vertical,4,3,500,375,1.3333,moderate_advantage,0.075758,"{""STALKER"": 4}","{""STALKER"": 3}",299124b76dd43b9d51221f649db22ae8f3991dfb131489db260f08e185364fcc
r2g_train_0078,configs/train/r2g_train_0078.json,train,stalker_mirror_02,stalker_mirror,legacy_r2_1300,False,6,near,8.8515,OCTAGON,split,diag_down,4,3,500,375,1.3333,moderate_advantage,0.075758,"{""STALKER"": 4}","{""STALKER"": 3}",206b4db0ca49d4c64169e851ea6835e70d36607700e59f7b8944b90c9c7571fd
r2g_train_0079,configs/train/r2g_train_0079.json,train,stalker_mirror_02,stalker_mirror,legacy_r2_1300,False,7,near,8.7386,NARROW,staggered,narrow_same_side,4,3,500,375,1.3333,moderate_advantage,0.075758,"{""STALKER"": 4}","{""STALKER"": 3}",51e78c8cdee687015c8aa7900e3df27f3aca31d5c81618711996615f2e9e868c
